Token,TFIDF
american,0.3490505155072271
america,0.189701367123493
must,0.1856256030980719
country,0.18211331243855328
nation,0.15934914838373412
one,0.14417303901385467
new,0.13658498432891497
state,0.12140887495903552
world,0.12140887495903552
great,0.1138208202740958
year,0.1138208202740958
united,0.10623276558915608
people,0.10623276558915608
citizen,0.10209408170393956
job,0.09105665621927664
child,0.09105665621927664
many,0.09105665621927664
time,0.09105665621927664
company,0.08353152139413235
tonight,0.08346860153433693
work,0.0758805468493972
across,0.0758805468493972
right,0.0758805468493972
want,0.0758805468493972
immigration,0.07425024123922877
megan,0.07270459432852125
ryan,0.06878536471526701
trade,0.06878536471526701
million,0.06829249216445749
every,0.06829249216445749
health,0.06829249216445749
create,0.06496896108432518
drug,0.06496896108432518
thank,0.06070443747951776
also,0.06070443747951776
woman,0.06070443747951776
system,0.06070443747951776
friend,0.06070443747951776
congress,0.06070443747951776
law,0.06070443747951776
much,0.06070443747951776
national,0.06070443747951776
obamacare,0.05816367546281699
jamiel,0.05816367546281699
jenna,0.05816367546281699
susan,0.05816367546281699
oliver,0.05816367546281699
infrastructure,0.057321137262722505
love,0.057321137262722505
trillion,0.05568768092942158
made,0.05568768092942158
asking,0.05568768092942158
foreign,0.05568768092942158
past,0.05568768092942158
family,0.05311638279457804
believe,0.05311638279457804
good,0.05311638279457804
first,0.05311638279457804
billion,0.05311638279457804
keep,0.05311638279457804
justice,0.05311638279457804
member,0.05311638279457804
since,0.05311638279457804
future,0.05311638279457804
help,0.05311638279457804
long,0.05311638279457804
home,0.05311638279457804
tax,0.05311638279457804
dollar,0.05311638279457804
choice,0.04640640077451798
insurance,0.04640640077451798
respect,0.04640640077451798
military,0.04640640077451798
republican,0.04640640077451798
better,0.04640640077451798
fair,0.04640640077451798
going,0.04640640077451798
dream,0.04640640077451798
safe,0.04640640077451798
incredible,0.045856909810178
throughout,0.045856909810178
know,0.04552832810963832
last,0.04552832810963832
department,0.04552832810963832
community,0.04552832810963832
life,0.04552832810963832
government,0.04552832810963832
cost,0.04552832810963832
support,0.04552832810963832
even,0.04552832810963832
war,0.04552832810963832
get,0.04552832810963832
school,0.04552832810963832
never,0.04552832810963832
rate,0.04552832810963832
ally,0.04552832810963832
make,0.04552832810963832
need,0.04552832810963832
voice,0.04362275659711274
hero,0.04362275659711274
rare,0.04362275659711274
gallery,0.04362275659711274
ten,0.04362275659711274
jessica,0.04362275659711274
security,0.0379402734246986
administration,0.0379402734246986
find,0.0379402734246986
middle,0.0379402734246986
like,0.0379402734246986
men,0.0379402734246986
protect,0.0379402734246986
worker,0.0379402734246986
border,0.0379402734246986
access,0.0379402734246986
history,0.0379402734246986
high,0.0379402734246986
increase,0.037125120619614385
regulation,0.037125120619614385
allow,0.037125120619614385
big,0.037125120619614385
look,0.037125120619614385
city,0.037125120619614385
leave,0.037125120619614385
two,0.037125120619614385
calling,0.03439268235763351
celebrate,0.03439268235763351
vision,0.03439268235763351
current,0.03439268235763351
party,0.03439268235763351
daughter,0.03439268235763351
brave,0.03439268235763351
immigrant,0.03439268235763351
enemy,0.03439268235763351
way,0.03035221873975888
policy,0.03035221873975888
together,0.03035221873975888
greater,0.03035221873975888
business,0.03035221873975888
plan,0.03035221873975888
care,0.03035221873975888
free,0.03035221873975888
bring,0.03035221873975888
come,0.03035221873975888
wage,0.03035221873975888
president,0.03035221873975888
laughter,0.03035221873975888
save,0.03035221873975888
force,0.03035221873975888
stop,0.03035221873975888
become,0.03035221873975888
today,0.03035221873975888
able,0.03035221873975888
provide,0.03035221873975888
hope,0.03035221873975888
reform,0.03035221873975888
finally,0.03035221873975888
father,0.03035221873975888
terrorism,0.03035221873975888
take,0.03035221873975888
said,0.03035221873975888
badly,0.029081837731408496
muslim,0.029081837731408496
celebration,0.029081837731408496
pouring,0.029081837731408496
chicago,0.029081837731408496
happy,0.029081837731408496
audience,0.029081837731408496
maureen,0.029081837731408496
davis,0.029081837731408496
meaningful,0.029081837731408496
slow,0.029081837731408496
vetting,0.029081837731408496
directed,0.029081837731408496
displayed,0.029081837731408496
jewish,0.029081837731408496
owen,0.029081837731408496
shaw,0.029081837731408496
greatness,0.029081837731408496
chorus,0.029081837731408496
joined,0.029081837731408496
joining,0.029081837731408496
produce,0.029081837731408496
fought,0.029081837731408496
sheriff,0.029081837731408496
official,0.029081837731408496
illegal,0.029081837731408496
illness,0.029081837731408496
torch,0.029081837731408496
ignored,0.029081837731408496
lifetime,0.029081837731408496
denisha,0.029081837731408496
obligation,0.029081837731408496
currently,0.029081837731408496
crumbling,0.029081837731408496
threaten,0.029081837731408496
taxed,0.029081837731408496
lawless,0.029081837731408496
man,0.029081837731408496
lincoln,0.029081837731408496
scalia,0.029081837731408496
pipeline,0.029081837731408496
partnership,0.029081837731408496
viciously,0.029081837731408496
chapter,0.029081837731408496
twice,0.029081837731408496
canada,0.029081837731408496
enforce,0.029081837731408496
motorcycle,0.029081837731408496
strongly,0.029081837731408496
call,0.029081837731408496
imposing,0.029081837731408496
inner,0.029081837731408496
inside,0.029081837731408496
approve,0.029081837731408496
warrior,0.029081837731408496
interest,0.02784384046471079
victim,0.02784384046471079
fight,0.02784384046471079
achieve,0.02784384046471079
everyone,0.02784384046471079
terrible,0.02784384046471079
loved,0.02784384046471079
guided,0.02784384046471079
crime,0.02784384046471079
criminal,0.02784384046471079
