Token,Count,minmax_norm,Index
must,29,1.0,0
security,28,0.9642857142857143,1
make,24,0.8214285714285714,2
freedom,20,0.6785714285714286,3
year,20,0.6785714285714286,4
government,18,0.6071428571428571,5
social,18,0.6071428571428571,6
america,18,0.6071428571428571,7
people,17,0.5714285714285714,8
american,17,0.5714285714285714,9
country,17,0.5714285714285714,10
nation,16,0.5357142857142857,11
congress,15,0.5,12
new,15,0.5,13
worker,15,0.5,14
terror,14,0.4642857142857143,15
benefit,13,0.42857142857142855,16
system,13,0.42857142857142855,17
iraq,13,0.42857142857142855,18
iraqi,13,0.42857142857142855,19
every,13,0.42857142857142855,20
world,12,0.39285714285714285,21
retirement,12,0.39285714285714285,22
account,12,0.39285714285714285,23
terrorist,11,0.35714285714285715,24
economy,11,0.35714285714285715,25
time,11,0.35714285714285715,26
woman,11,0.35714285714285715,27
child,11,0.35714285714285715,28
help,11,0.35714285714285715,29
tax,10,0.32142857142857145,30
life,10,0.32142857142857145,31
great,10,0.32142857142857145,32
state,10,0.32142857142857145,33
also,10,0.32142857142857145,34
men,10,0.32142857142857145,35
reform,10,0.32142857142857145,36
democracy,9,0.2857142857142857,37
peace,9,0.2857142857142857,38
force,8,0.25,39
day,8,0.25,40
responsibility,8,0.25,41
build,8,0.25,42
health,8,0.25,43
million,8,0.25,44
generation,8,0.25,45
sure,8,0.25,46
money,7,0.21428571428571427,47
take,7,0.21428571428571427,48
personal,7,0.21428571428571427,49
support,7,0.21428571428571427,50
honor,7,0.21428571428571427,51
dream,7,0.21428571428571427,52
work,7,0.21428571428571427,53
need,7,0.21428571428571427,54
good,7,0.21428571428571427,55
citizen,7,0.21428571428571427,56
one,6,0.17857142857142858,57
better,6,0.17857142857142858,58
middle,6,0.17857142857142858,59
leader,6,0.17857142857142858,60
democratic,6,0.17857142857142858,61
able,6,0.17857142857142858,62
small,6,0.17857142857142858,63
way,6,0.17857142857142858,64
continue,6,0.17857142857142858,65
said,6,0.17857142857142858,66
value,6,0.17857142857142858,67
ago,6,0.17857142857142858,68
young,6,0.17857142857142858,69
care,6,0.17857142857142858,70
set,6,0.17857142857142858,71
advance,6,0.17857142857142858,72
home,6,0.17857142857142858,73
free,6,0.17857142857142858,74
institution,6,0.17857142857142858,75
protect,6,0.17857142857142858,76
pas,6,0.17857142857142858,77
job,6,0.17857142857142858,78
liberty,6,0.17857142857142858,79
human,5,0.14285714285714285,80
many,5,0.14285714285714285,81
united,5,0.14285714285714285,82
act,5,0.14285714285714285,83
region,5,0.14285714285714285,84
result,5,0.14285714285714285,85
effort,5,0.14285714285714285,86
war,5,0.14285714285714285,87
east,5,0.14285714285714285,88
society,5,0.14285714285714285,89
proud,5,0.14285714285714285,90
right,5,0.14285714285714285,91
would,5,0.14285714285714285,92
still,5,0.14285714285714285,93
president,5,0.14285714285714285,94
family,5,0.14285714285714285,95
give,5,0.14285714285714285,96
community,5,0.14285714285714285,97
palestinian,5,0.14285714285714285,98
goal,5,0.14285714285714285,99
part,5,0.14285714285714285,100
last,4,0.10714285714285714,101
provide,4,0.10714285714285714,102
created,4,0.10714285714285714,103
change,4,0.10714285714285714,104
younger,4,0.10714285714285714,105
decade,4,0.10714285714285714,106
keep,4,0.10714285714285714,107
long,4,0.10714285714285714,108
today,4,0.10714285714285714,109
source,4,0.10714285714285714,110
coalition,4,0.10714285714285714,111
seek,4,0.10714285714285714,112
bring,4,0.10714285714285714,113
plan,4,0.10714285714285714,114
medical,4,0.10714285714285714,115
training,4,0.10714285714285714,116
idea,4,0.10714285714285714,117
clear,4,0.10714285714285714,118
end,4,0.10714285714285714,119
know,4,0.10714285714285714,120
greater,4,0.10714285714285714,121
history,4,0.10714285714285714,122
stand,4,0.10714285714285714,123
justice,4,0.10714285714285714,124
business,4,0.10714285714285714,125
century,4,0.10714285714285714,126
ally,4,0.10714285714285714,127
always,4,0.10714285714285714,128
friend,4,0.10714285714285714,129
enemy,4,0.10714285714285714,130
next,4,0.10714285714285714,131
lead,4,0.10714285714285714,132
together,4,0.10714285714285714,133
commitment,4,0.10714285714285714,134
ask,4,0.10714285714285714,135
share,4,0.10714285714285714,136
military,4,0.10714285714285714,137
vote,4,0.10714285714285714,138
parent,4,0.10714285714285714,139
thank,4,0.10714285714285714,140
working,4,0.10714285714285714,141
hope,4,0.10714285714285714,142
never,4,0.10714285714285714,143
union,3,0.07142857142857142,144
ideal,3,0.07142857142857142,145
role,3,0.07142857142857142,146
sound,3,0.07142857142857142,147
open,3,0.07142857142857142,148
group,3,0.07142857142857142,149
paid,3,0.07142857142857142,150
gang,3,0.07142857142857142,151
mom,3,0.07142857142857142,152
rise,3,0.07142857142857142,153
fight,3,0.07142857142857142,154
higher,3,0.07142857142857142,155
standard,3,0.07142857142857142,156
let,3,0.07142857142857142,157
paying,3,0.07142857142857142,158
secure,3,0.07142857142857142,159
option,3,0.07142857142857142,160
done,3,0.07142857142857142,161
promote,3,0.07142857142857142,162
confidence,3,0.07142857142857142,163
afghanistan,3,0.07142857142857142,164
weapon,3,0.07142857142857142,165
growing,3,0.07142857142857142,166
regime,3,0.07142857142857142,167
nuclear,3,0.07142857142857142,168
independent,3,0.07142857142857142,169
attack,3,0.07142857142857142,170
increasing,3,0.07142857142857142,171
focus,3,0.07142857142857142,172
ensure,3,0.07142857142857142,173
especially,3,0.07142857142857142,174
college,3,0.07142857142857142,175
territory,3,0.07142857142857142,176
tonight,3,0.07142857142857142,177
serve,3,0.07142857142857142,178
grow,3,0.07142857142857142,179
responsible,3,0.07142857142857142,180
longer,3,0.07142857142857142,181
across,3,0.07142857142857142,182
dramatically,3,0.07142857142857142,183
anyone,3,0.07142857142857142,184
reach,3,0.07142857142857142,185
energy,3,0.07142857142857142,186
safia,3,0.07142857142857142,187
budget,3,0.07142857142857142,188
prepare,3,0.07142857142857142,189
member,3,0.07142857142857142,190
broader,3,0.07142857142857142,191
tell,3,0.07142857142857142,192
determined,3,0.07142857142857142,193
federal,3,0.07142857142857142,194
spending,3,0.07142857142857142,195
taking,3,0.07142857142857142,196
taken,3,0.07142857142857142,197
ground,3,0.07142857142857142,198
important,3,0.07142857142857142,199
border,3,0.07142857142857142,200
come,3,0.07142857142857142,201
respect,3,0.07142857142857142,202
culture,3,0.07142857142857142,203
add,3,0.07142857142857142,204
national,3,0.07142857142857142,205
research,3,0.07142857142857142,206
action,3,0.07142857142857142,207
election,3,0.07142857142857142,208
law,3,0.07142857142857142,209
cost,3,0.07142857142857142,210
elected,3,0.07142857142857142,211
economic,3,0.07142857142857142,212
along,3,0.07142857142857142,213
stronger,3,0.07142857142857142,214
toward,3,0.07142857142857142,215
got,3,0.07142857142857142,216
fellow,3,0.07142857142857142,217
principle,3,0.07142857142857142,218
future,3,0.07142857142857142,219
fund,3,0.07142857142857142,220
service,3,0.07142857142857142,221
current,3,0.07142857142857142,222
already,3,0.07142857142857142,223
program,3,0.07142857142857142,224
code,3,0.07142857142857142,225
number,3,0.07142857142857142,226
pay,3,0.07142857142857142,227
achieved,3,0.07142857142857142,228
cut,3,0.07142857142857142,229
defend,3,0.07142857142857142,230
half,3,0.07142857142857142,231
whole,3,0.07142857142857142,232
person,3,0.07142857142857142,233
effective,3,0.07142857142857142,234
byron,3,0.07142857142857142,235
fall,2,0.03571428571428571,236
beneficiary,2,0.03571428571428571,237
living,2,0.03571428571428571,238
violence,2,0.03571428571428571,239
shortfall,2,0.03571428571428571,240
syrian,2,0.03571428571428571,241
destroy,2,0.03571428571428571,242
qaida,2,0.03571428571428571,243
iranian,2,0.03571428571428571,244
however,2,0.03571428571428571,245
purpose,2,0.03571428571428571,246
expanding,2,0.03571428571428571,247
homeland,2,0.03571428571428571,248
moral,2,0.03571428571428571,249
september,2,0.03571428571428571,250
danger,2,0.03571428571428571,251
showed,2,0.03571428571428571,252
honored,2,0.03571428571428571,253
reject,2,0.03571428571428571,254
defense,2,0.03571428571428571,255
uniform,2,0.03571428571428571,256
fighting,2,0.03571428571428571,257
since,2,0.03571428571428571,258
want,2,0.03571428571428571,259
victory,2,0.03571428571428571,260
leaving,2,0.03571428571428571,261
safer,2,0.03571428571428571,262
drawing,2,0.03571428571428571,263
lady,2,0.03571428571428571,264
lower,2,0.03571428571428571,265
much,2,0.03571428571428571,266
encourage,2,0.03571428571428571,267
live,2,0.03571428571428571,268
