Token,TFIDF
american,0.37851150479741086
job,0.22807744519843987
america,0.21837202199850625
people,0.174697617598805
year,0.150434059598971
plan,0.150434059598971
going,0.14245350959728942
know,0.14072863639903738
percent,0.13058238379751533
gun,0.13018888768864428
democracy,0.12463721750959725
one,0.12131778999917014
world,0.11161236679923653
president,0.11161236679923653
let,0.10675965519926972
get,0.10675965519926972
country,0.10190694359930293
million,0.10190694359930293
family,0.09705423199933612
act,0.09220152039936931
said,0.09220152039936931
think,0.0890334434983059
tax,0.0873488087994025
right,0.07764338559946889
day,0.07764338559946889
care,0.07764338559946889
ever,0.07716231769853177
crisis,0.07331601029976308
hundred,0.07331601029976308
nation,0.07279067399950209
time,0.07279067399950209
made,0.07122675479864471
congress,0.06793796239953528
pandemic,0.06598440926978677
rescue,0.06509444384432214
pay,0.06308525079956848
child,0.06308525079956848
back,0.06308525079956848
help,0.06308525079956848
put,0.05935562899887059
every,0.05823253919960167
want,0.05823253919960167
need,0.05823253919960167
make,0.05823253919960167
competition,0.055795237580847555
george,0.055795237580847555
vaccine,0.055795237580847555
vaccinated,0.055795237580847555
create,0.05342006609898353
look,0.05342006609898353
well,0.05342006609898353
long,0.05337982759963486
investment,0.05337982759963486
history,0.05337982759963486
pas,0.05337982759963486
thing,0.05132120720983416
work,0.04852711599966806
say,0.04852711599966806
opportunity,0.04852711599966806
republican,0.04748450319909647
check,0.04748450319909647
mean,0.04748450319909647
loophole,0.04649603131737297
floyd,0.04649603131737297
desk,0.04649603131737297
shot,0.04398960617985785
climate,0.04398960617985785
together,0.04367440439970125
could,0.04367440439970125
last,0.04367440439970125
united,0.04367440439970125
working,0.04367440439970125
home,0.04367440439970125
see,0.04367440439970125
life,0.04367440439970125
tonight,0.04367440439970125
raise,0.04154894029920942
car,0.04154894029920942
reason,0.04154894029920942
today,0.03882169279973444
middle,0.03882169279973444
also,0.03882169279973444
century,0.03882169279973444
come,0.03882169279973444
new,0.03882169279973444
power,0.03882169279973444
support,0.03882169279973444
affordable,0.03882169279973444
buy,0.03882169279973444
still,0.03882169279973444
would,0.03882169279973444
vaccination,0.03719682505389837
committee,0.03719682505389837
overwhelming,0.03719682505389837
image,0.03719682505389837
fellow,0.03665800514988154
mile,0.03665800514988154
worst,0.03665800514988154
address,0.03665800514988154
discussion,0.03665800514988154
rest,0.03665800514988154
win,0.03665800514988154
fair,0.035613377399322355
weapon,0.035613377399322355
afghanistan,0.035613377399322355
drug,0.035613377399322355
two,0.035613377399322355
clear,0.035613377399322355
democrat,0.035613377399322355
research,0.035613377399322355
thousand,0.035613377399322355
already,0.035613377399322355
first,0.03396898119976764
since,0.03396898119976764
threat,0.03396898119976764
woman,0.03396898119976764
state,0.03396898119976764
dollar,0.03396898119976764
economy,0.03396898119976764
thank,0.03396898119976764
tell,0.03396898119976764
never,0.03396898119976764
way,0.03396898119976764
college,0.03396898119976764
many,0.03396898119976764
future,0.03396898119976764
war,0.03396898119976764
much,0.03396898119976764
reform,0.03396898119976764
like,0.03396898119976764
show,0.029677814499435295
violence,0.029677814499435295
ago,0.029677814499435295
enough,0.029677814499435295
agency,0.029677814499435295
public,0.029677814499435295
