Token,Count,minmax_norm,Index
american,78,1.0,0
job,47,0.5974025974025974,1
america,45,0.5714285714285714,2
people,36,0.45454545454545453,3
year,31,0.38961038961038963,4
plan,31,0.38961038961038963,5
know,29,0.36363636363636365,6
one,25,0.3116883116883117,7
going,24,0.2987012987012987,8
president,23,0.2857142857142857,9
world,23,0.2857142857142857,10
percent,22,0.2727272727272727,11
get,22,0.2727272727272727,12
let,22,0.2727272727272727,13
country,21,0.2597402597402597,14
million,21,0.2597402597402597,15
family,20,0.24675324675324675,16
act,19,0.23376623376623376,17
said,19,0.23376623376623376,18
tax,18,0.22077922077922077,19
democracy,17,0.2077922077922078,20
day,16,0.19480519480519481,21
care,16,0.19480519480519481,22
right,16,0.19480519480519481,23
nation,15,0.18181818181818182,24
think,15,0.18181818181818182,25
time,15,0.18181818181818182,26
congress,14,0.16883116883116883,27
gun,14,0.16883116883116883,28
pay,13,0.15584415584415584,29
child,13,0.15584415584415584,30
ever,13,0.15584415584415584,31
help,13,0.15584415584415584,32
back,13,0.15584415584415584,33
made,12,0.14285714285714285,34
make,12,0.14285714285714285,35
need,12,0.14285714285714285,36
want,12,0.14285714285714285,37
every,12,0.14285714285714285,38
pas,11,0.12987012987012986,39
long,11,0.12987012987012986,40
history,11,0.12987012987012986,41
investment,11,0.12987012987012986,42
crisis,10,0.11688311688311688,43
opportunity,10,0.11688311688311688,44
hundred,10,0.11688311688311688,45
work,10,0.11688311688311688,46
put,10,0.11688311688311688,47
say,10,0.11688311688311688,48
could,9,0.1038961038961039,49
tonight,9,0.1038961038961039,50
pandemic,9,0.1038961038961039,51
look,9,0.1038961038961039,52
home,9,0.1038961038961039,53
create,9,0.1038961038961039,54
working,9,0.1038961038961039,55
well,9,0.1038961038961039,56
together,9,0.1038961038961039,57
see,9,0.1038961038961039,58
united,9,0.1038961038961039,59
last,9,0.1038961038961039,60
life,9,0.1038961038961039,61
come,8,0.09090909090909091,62
new,8,0.09090909090909091,63
mean,8,0.09090909090909091,64
republican,8,0.09090909090909091,65
still,8,0.09090909090909091,66
check,8,0.09090909090909091,67
affordable,8,0.09090909090909091,68
support,8,0.09090909090909091,69
century,8,0.09090909090909091,70
middle,8,0.09090909090909091,71
today,8,0.09090909090909091,72
buy,8,0.09090909090909091,73
power,8,0.09090909090909091,74
also,8,0.09090909090909091,75
would,8,0.09090909090909091,76
state,7,0.07792207792207792,77
war,7,0.07792207792207792,78
never,7,0.07792207792207792,79
future,7,0.07792207792207792,80
rescue,7,0.07792207792207792,81
reform,7,0.07792207792207792,82
much,7,0.07792207792207792,83
many,7,0.07792207792207792,84
woman,7,0.07792207792207792,85
first,7,0.07792207792207792,86
thing,7,0.07792207792207792,87
car,7,0.07792207792207792,88
college,7,0.07792207792207792,89
threat,7,0.07792207792207792,90
like,7,0.07792207792207792,91
reason,7,0.07792207792207792,92
raise,7,0.07792207792207792,93
economy,7,0.07792207792207792,94
since,7,0.07792207792207792,95
way,7,0.07792207792207792,96
dollar,7,0.07792207792207792,97
thank,7,0.07792207792207792,98
tell,7,0.07792207792207792,99
justice,6,0.06493506493506493,100
good,6,0.06493506493506493,101
vice,6,0.06493506493506493,102
worker,6,0.06493506493506493,103
already,6,0.06493506493506493,104
vaccine,6,0.06493506493506493,105
shot,6,0.06493506493506493,106
drug,6,0.06493506493506493,107
clean,6,0.06493506493506493,108
competition,6,0.06493506493506493,109
lead,6,0.06493506493506493,110
build,6,0.06493506493506493,111
afghanistan,6,0.06493506493506493,112
instead,6,0.06493506493506493,113
able,6,0.06493506493506493,114
school,6,0.06493506493506493,115
thousand,6,0.06493506493506493,116
clear,6,0.06493506493506493,117
george,6,0.06493506493506493,118
climate,6,0.06493506493506493,119
change,6,0.06493506493506493,120
democrat,6,0.06493506493506493,121
weapon,6,0.06493506493506493,122
hope,6,0.06493506493506493,123
fair,6,0.06493506493506493,124
vaccinated,6,0.06493506493506493,125
two,6,0.06493506493506493,126
health,6,0.06493506493506493,127
making,6,0.06493506493506493,128
done,6,0.06493506493506493,129
believe,6,0.06493506493506493,130
told,6,0.06493506493506493,131
economic,6,0.06493506493506493,132
protect,6,0.06493506493506493,133
research,6,0.06493506493506493,134
within,5,0.05194805194805195,135
take,5,0.05194805194805195,136
win,5,0.05194805194805195,137
lower,5,0.05194805194805195,138
immigration,5,0.05194805194805195,139
worst,5,0.05194805194805195,140
billion,5,0.05194805194805195,141
better,5,0.05194805194805195,142
class,5,0.05194805194805195,143
mile,5,0.05194805194805195,144
terrorist,5,0.05194805194805195,145
discussion,5,0.05194805194805195,146
deliver,5,0.05194805194805195,147
violence,5,0.05194805194805195,148
close,5,0.05194805194805195,149
passed,5,0.05194805194805195,150
fellow,5,0.05194805194805195,151
community,5,0.05194805194805195,152
ago,5,0.05194805194805195,153
house,5,0.05194805194805195,154
parent,5,0.05194805194805195,155
increase,5,0.05194805194805195,156
show,5,0.05194805194805195,157
real,5,0.05194805194805195,158
floyd,5,0.05194805194805195,159
law,5,0.05194805194805195,160
desk,5,0.05194805194805195,161
whether,5,0.05194805194805195,162
rest,5,0.05194805194805195,163
defense,5,0.05194805194805195,164
benefit,5,0.05194805194805195,165
agency,5,0.05194805194805195,166
loophole,5,0.05194805194805195,167
access,5,0.05194805194805195,168
enough,5,0.05194805194805195,169
public,5,0.05194805194805195,170
address,5,0.05194805194805195,171
mass,5,0.05194805194805195,172
growth,5,0.05194805194805195,173
age,5,0.05194805194805195,174
meet,4,0.03896103896103896,175
commitment,4,0.03896103896103896,176
committee,4,0.03896103896103896,177
idea,4,0.03896103896103896,178
center,4,0.03896103896103896,179
part,4,0.03896103896103896,180
kept,4,0.03896103896103896,181
food,4,0.03896103896103896,182
image,4,0.03896103896103896,183
built,4,0.03896103896103896,184
nearly,4,0.03896103896103896,185
son,4,0.03896103896103896,186
week,4,0.03896103896103896,187
vaccination,4,0.03896103896103896,188
least,4,0.03896103896103896,189
away,4,0.03896103896103896,190
majority,4,0.03896103896103896,191
overwhelming,4,0.03896103896103896,192
great,4,0.03896103896103896,193
hour,4,0.03896103896103896,194
issue,4,0.03896103896103896,195
always,4,0.03896103896103896,196
water,4,0.03896103896103896,197
save,4,0.03896103896103896,198
prescription,4,0.03896103896103896,199
created,4,0.03896103896103896,200
corporate,4,0.03896103896103896,201
including,4,0.03896103896103896,202
building,4,0.03896103896103896,203
childcare,4,0.03896103896103896,204
waiting,4,0.03896103896103896,205
government,4,0.03896103896103896,206
universal,4,0.03896103896103896,207
creates,4,0.03896103896103896,208
stand,4,0.03896103896103896,209
security,4,0.03896103896103896,210
trillion,4,0.03896103896103896,211
root,4,0.03896103896103896,212
compete,4,0.03896103896103896,213
laughter,4,0.03896103896103896,214
cut,4,0.03896103896103896,215
background,4,0.03896103896103896,216
education,4,0.03896103896103896,217
everything,4,0.03896103896103896,218
past,4,0.03896103896103896,219
progress,4,0.03896103896103896,220
month,4,0.03896103896103896,221
infrastructure,4,0.03896103896103896,222
start,4,0.03896103896103896,223
keep,4,0.03896103896103896,224
legislation,4,0.03896103896103896,225
sure,4,0.03896103896103896,226
providing,4,0.03896103896103896,227
needed,4,0.03896103896103896,228
loved,4,0.03896103896103896,229
medicare,4,0.03896103896103896,230
young,4,0.03896103896103896,231
consensus,4,0.03896103896103896,232
got,4,0.03896103896103896,233
seen,4,0.03896103896103896,234
business,4,0.03896103896103896,235
sent,3,0.025974025974025976,236
bipartisan,3,0.025974025974025976,237
everyone,3,0.025974025974025976,238
point,3,0.025974025974025976,239
grow,3,0.025974025974025976,240
poverty,3,0.025974025974025976,241
responsible,3,0.025974025974025976,242
wealth,3,0.025974025974025976,243
additional,3,0.025974025974025976,244
position,3,0.025974025974025976,245
kit,3,0.025974025974025976,246
asked,3,0.025974025974025976,247
senior,3,0.025974025974025976,248
fully,3,0.025974025974025976,249
half,3,0.025974025974025976,250
absolute,3,0.025974025974025976,251
site,3,0.025974025974025976,252
internet,3,0.025974025974025976,253
came,3,0.025974025974025976,254
hunger,3,0.025974025974025976,255
worth,3,0.025974025974025976,256
lost,3,0.025974025974025976,257
ceo,3,0.025974025974025976,258
cancer,3,0.025974025974025976,259
remember,3,0.025974025974025976,260
generate,3,0.025974025974025976,261
end,3,0.025974025974025976,262
forget,3,0.025974025974025976,263
kid,3,0.025974025974025976,264
virus,3,0.025974025974025976,265
cried,3,0.025974025974025976,266
dose,3,0.025974025974025976,267
paid,3,0.025974025974025976,268
best,3,0.025974025974025976,269
capacity,3,0.025974025974025976,270
force,3,0.025974025974025976,271
vast,3,0.025974025974025976,272
alone,3,0.025974025974025976,273
study,3,0.025974025974025976,274
result,3,0.025974025974025976,275
beyond,3,0.025974025974025976,276
black,3,0.025974025974025976,277
seeing,3,0.025974025974025976,278
begin,3,0.025974025974025976,279
shooting,3,0.025974025974025976,280
constitution,3,0.025974025974025976,281
provide,3,0.025974025974025976,282
hate,3,0.025974025974025976,283
crime,3,0.025974025974025976,284
chance,3,0.025974025974025976,285
senate,3,0.025974025974025976,286
often,3,0.025974025974025976,287
saw,3,0.025974025974025976,288
grid,3,0.025974025974025976,289
effort,3,0.025974025974025976,290
high,3,0.025974025974025976,291
serve,3,0.025974025974025976,292
view,3,0.025974025974025976,293
white,3,0.025974025974025976,294
proposed,3,0.025974025974025976,295
breakthrough,3,0.025974025974025976,296
highway,3,0.025974025974025976,297
nothing,3,0.025974025974025976,298
become,3,0.025974025974025976,299
leave,3,0.025974025974025976,300
corporation,3,0.025974025974025976,301
wealthiest,3,0.025974025974025976,302
without,3,0.025974025974025976,303
lot,3,0.025974025974025976,304
talked,3,0.025974025974025976,305
fact,3,0.025974025974025976,306
left,3,0.025974025974025976,307
pocket,3,0.025974025974025976,308
wage,3,0.025974025974025976,309
billionaire,3,0.025974025974025976,310
door,3,0.025974025974025976,311
border,3,0.025974025974025976,312
street,3,0.025974025974025976,313
certain,3,0.025974025974025976,314
thanks,3,0.025974025974025976,315
intelligence,3,0.025974025974025976,316
russia,3,0.025974025974025976,317
little,3,0.025974025974025976,318
paycheck,3,0.025974025974025976,319
leading,3,0.025974025974025976,320
finally,3,0.025974025974025976,321
behind,3,0.025974025974025976,322
used,3,0.025974025974025976,323
national,3,0.025974025974025976,324
biggest,3,0.025974025974025976,325
remain,3,0.025974025974025976,326
action,3,0.025974025974025976,327
send,3,0.025974025974025976,328
possibility,3,0.025974025974025976,329
department,3,0.025974025974025976,330
lined,3,0.025974025974025976,331
invest,3,0.025974025974025976,332
develop,3,0.025974025974025976,333
setting,3,0.025974025974025976,334
wall,3,0.025974025974025976,335
advanced,3,0.025974025974025976,336
program,3,0.025974025974025976,337
product,3,0.025974025974025976,338
something,3,0.025974025974025976,339
took,3,0.025974025974025976,340
leader,3,0.025974025974025976,341
greatest,3,0.025974025974025976,342
word,3,0.025974025974025976,343
hand,3,0.025974025974025976,344
add,3,0.025974025974025976,345
strength,3,0.025974025974025976,346
extraordinary,3,0.025974025974025976,347
directly,3,0.025974025974025976,348
administration,3,0.025974025974025976,349
period,3,0.025974025974025976,350
largest,3,0.025974025974025976,351
harris,3,0.025974025974025976,352
second,2,0.012987012987012988,353
met,2,0.012987012987012988,354
