Token,TFIDF
american,0.2554490177972513
know,0.16374937038285342
time,0.15064942075222515
year,0.15064942075222515
energy,0.13854217700397914
people,0.13754947112159688
plan,0.13754947112159688
economy,0.13754947112159688
new,0.13754947112159688
health,0.13099949630628274
every,0.13099949630628274
bank,0.12864630721798062
must,0.12017339184932953
care,0.11789954667565446
job,0.11789954667565446
america,0.11134957186034032
make,0.11134957186034032
recovery,0.10885456764598361
crisis,0.10885456764598361
also,0.10479959704502619
budget,0.10415027293608557
lending,0.10041324826076489
responsibility,0.0989586978599851
day,0.09824962222971205
cost,0.09824962222971205
country,0.09169964741439791
child,0.09169964741439791
education,0.08514967259908378
nation,0.08514967259908378
reform,0.07859969778376964
family,0.07859969778376964
one,0.07859969778376964
school,0.07859969778376964
business,0.07859969778376964
end,0.0721040351095977
put,0.0721040351095977
tonight,0.0720497229684555
tax,0.0720497229684555
loan,0.06927108850198957
even,0.06549974815314137
million,0.06549974815314137
world,0.06549974815314137
college,0.06549974815314137
take,0.06549974815314137
congress,0.06549974815314137
need,0.06549974815314137
next,0.06549974815314137
money,0.06549974815314137
afford,0.06409247565297574
begin,0.06409247565297574
necessary,0.06275828016297806
recession,0.059375218715991065
helping,0.059375218715991065
debt,0.059375218715991065
deficit,0.05894977333782723
way,0.05894977333782723
work,0.05894977333782723
future,0.05894977333782723
home,0.05894977333782723
challenge,0.05608091619635378
cut,0.05608091619635378
economic,0.05239979852251309
back,0.05239979852251309
help,0.05239979852251309
see,0.05239979852251309
come,0.05239979852251309
meet,0.05239979852251309
difficult,0.050206624130382446
sense,0.050206624130382446
accountable,0.050206624130382446
payment,0.050206624130382446
address,0.04947934892999255
restart,0.04947934892999255
spend,0.04947934892999255
bad,0.04947934892999255
chamber,0.04947934892999255
largest,0.048069356739731804
invest,0.048069356739731804
goal,0.048069356739731804
doe,0.048069356739731804
fact,0.048069356739731804
made,0.048069356739731804
confidence,0.04584982370719896
ensure,0.04584982370719896
say,0.04584982370719896
get,0.04584982370719896
history,0.04584982370719896
government,0.04584982370719896
system,0.04584982370719896
first,0.04584982370719896
problem,0.04584982370719896
program,0.04584982370719896
high,0.04584982370719896
right,0.04584982370719896
industry,0.04005779728310984
global,0.04005779728310984
ever,0.04005779728310984
easy,0.039583479143994044
teacher,0.039583479143994044
cause,0.039583479143994044
renewable,0.039583479143994044
iraq,0.039583479143994044
prosperity,0.039583479143994044
single,0.039583479143994044
